scenario,n_total,folds,rep,selected_gamma,oracle_gamma,baseline_sq_error,selected_sq_error,baseline_fresh_risk,selected_fresh_risk,oracle_fresh_risk,same_sample_penalty,selection_regret,fresh_harm,same_sample_harm
correct_response_clear,2000,3,0,1.0,1.0,0.0017624620529423304,0.0024545799641872545,0.00267250110820151,0.0017574023299637934,0.0017574023299637934,0.0006971776342234611,0.0,0.0,1.0
correct_response_clear,2000,3,1,1.0,1.0,0.0020520859935791234,0.0005649881702822169,0.002715992343797003,0.0017633005285750815,0.0017633005285750815,-0.0011983123582928645,0.0,0.0,0.0
correct_response_clear,2000,3,2,1.0,1.0,0.0036304381419628167,0.0005029396304386146,0.0025329996319886396,0.0017464632074903343,0.0017464632074903343,-0.0012435235770517196,0.0,0.0,0.0
correct_response_clear,2000,3,3,1.0,1.0,0.00019914597163787513,2.079599741267133e-06,0.0026704855753600042,0.0017649338557809687,0.0017649338557809687,-0.0017628542560397015,0.0,0.0,0.0
correct_response_clear,2000,3,4,1.0,1.0,0.0025609816999097174,0.0014945917448529107,0.002556040448206297,0.0017521817155704469,0.0017521817155704469,-0.0002575899707175362,0.0,0.0,0.0
correct_response_clear,2000,3,5,1.0,1.0,0.0004290985344652389,3.8595188549132684e-06,0.002668599168983743,0.001759819603926454,0.001759819603926454,-0.0017559600850715407,0.0,0.0,0.0
correct_response_clear,2000,3,6,1.0,1.0,0.00024489789866507193,1.957373932677305e-05,0.002682263034185184,0.001774811363111513,0.001774811363111513,-0.0017552376237847398,0.0,0.0,0.0
correct_response_clear,2000,3,7,1.0,1.0,2.0947380578783024e-05,0.0003189194955280463,0.002606761523581577,0.0017431740598924882,0.0017431740598924882,-0.001424254564364442,0.0,0.0,1.0
correct_response_clear,2000,3,8,1.0,1.0,3.992431717726271e-05,4.4694503036717535e-05,0.0026863443897913336,0.0017463040827083909,0.0017463040827083909,-0.0017016095796716733,0.0,0.0,1.0
correct_response_clear,2000,3,9,1.0,1.0,4.7788262014220843e-05,0.00015240779473141603,0.002574788625032722,0.001752156302342182,0.001752156302342182,-0.001599748507610766,0.0,0.0,1.0
correct_response_clear,2000,3,10,1.0,1.0,0.005790212957277313,0.006982980369632619,0.002639754462807875,0.0017592295704859369,0.0017592295704859369,0.005223750799146682,0.0,0.0,1.0
correct_response_clear,2000,3,11,1.0,1.0,0.00011135781525526306,0.00040358371933180213,0.0026798498407514747,0.0017472529850836806,0.0017472529850836806,-0.0013436692657518784,0.0,0.0,1.0
correct_response_clear,2000,3,12,1.0,1.0,0.004964092192386194,1.3335770677302508e-05,0.002544395119176175,0.0017433179602496167,0.0017433179602496167,-0.0017299821895723141,0.0,0.0,0.0
correct_response_clear,2000,3,13,1.0,1.0,0.00044019286592908837,0.0020353410172401004,0.0026441459724769857,0.0017409483268634631,0.0017409483268634631,0.00029439269037663724,0.0,0.0,1.0
correct_response_clear,2000,3,14,1.0,1.0,1.2025097881588344e-05,1.5483586982964344e-06,0.0025503610579969763,0.001744223647041433,0.001744223647041433,-0.0017426752883431366,0.0,0.0,0.0
